"name","start"
"Porce Medio - afro",NA
"Consejo Comunitario De Dos Bocas - afro",NA
"Tierra Baja """"Mi Territorio Ancestral"""" - afro",NA
"Consejo Comunitario Predio El Carmen - afro",NA
"Turriquitado - afro",NA
"Bellavista - afro",NA
"Cordoba Y San Cipriano - afro",NA
"Cano Del Oro - afro",NA
"San Joaquin Aguadulce - afro",NA
"Guayabal - afro",NA
"El Bien Del Futuro - afro",NA
"Villa Grande - afro",NA
"Puerto Echeverry - afro",NA
"Agricultores Del Patia Grande - afro",NA
"Union Del Rio Rosario - afro",NA
"La Cuenca Del Rio San Bernardo Patia Norte - afro",NA
"Pro - Defensa Del Rio Tapaje - afro",NA
"La Nupa Del Rio Caunapi - afro",NA
"San Nicolas - afro",NA
"Union De Cuencas De Isagualpi - afro",NA
"Alto Anchicaya - afro",NA
"Rescate Las Varas - afro",NA
"Bocas De Atrato Y Leoncito - afro",NA
"La Gran Union Del Rio Telpi - afro",NA
"Union Patia Viejo - afro",NA
"Parte Baja Del Rio Saija - afro",NA
"Negros En Accion - afro",NA
"San Joc Parte Alta Del Rio Micay - afro",NA
"Los Rios La Larga Y Tumarado - afro",NA
"Cordillera Occidental De Narino Copdiconc - afro",NA
"Rio San Francisco - afro",NA
"Manos Amigas Del Patia Grande - afro",NA
"La Barra - afro",NA
"Bajo Potedo - afro",NA
"Pedeguita Y Mancilla - afro",NA
"Iye Pinto - afro",NA
"Acadesan - afro",NA
"Makankamana - afro",NA
"El Progreso Del Rio Nerete - afro",NA
"Catangueros - afro",NA
"El Progreso Del Campo - afro",NA
"La Grande - afro",NA
"Guapi Abajo - afro",NA
"Zacarias Rio Dagua - afro",NA
"Gamboa - afro",NA
"Nueva Alianza - afro",NA
"Agua Clara - afro",NA
"Calle Larga Rio Dagua - afro",NA
"Paimado - afro",NA
"Bachichi  -  Piedras - afro",NA
"Renacer Telembi - afro",NA
"Villa Maria De Purricha - afro",NA
"Tablon Salado - afro",NA
"Cabeceras Rio San Juan - afro",NA
"Rio Curvarado - afro",NA
"Unicosta - afro",NA
"Mayor Del Municipio De Condoto - afro",NA
"Caunapi - afro",NA
"San Marcos - afro",NA
"Taparal - afro",NA
"Concoarapios - afro",NA
"Virudo - afro",NA
"La Gran Minga De Los Rios Inguambi Y Albi - afro",NA
"Campo Hermoso - afro",NA
"Cano Bodegas - afro",NA
"Imbilpi Del Carmen - afro",NA
"La Amistad - afro",NA
"Mayor Del Bajo Atrato - afro",NA
"Tablon Dulce - afro",NA
"Brisas Del Alto Telembi - afro",NA
"El Cuerval - afro",NA
"Bajo Rio Guelmambi - afro",NA
"Liberacion Y Futuro - afro",NA
"Alto Rio Dagua - Pacifico Cimarrones De Cisneros - afro",NA
"Gualmar - afro",NA
"Veredas Unidas - afro",NA
"Citronela Rio Dagua - afro",NA
"Parte Alta Sur Del Rio Saija - afro",NA
"Mayor De Union Panamericana """"Coco Maupa"""" - afro",NA
"La Esperanza Del  Rio Tola - afro",NA
"La Brea - afro",NA
"Guaimia - afro",NA
"Casimiro - afro",NA
